Value,Symbol,Name
0.60814,BBCA.JK,PT Bank Central Asia Tbk
0.19068001,BBCA.JK,PT Bank Central Asia Tbk
0.48661,BBCA.JK,PT Bank Central Asia Tbk
371.0,BBCA.JK,PT Bank Central Asia Tbk
0.56006,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
0.19069,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
0.43345,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
305.0,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
0.54688,BMRI.JK,PT Bank Mandiri (Persero) Tbk
0.2642,BMRI.JK,PT Bank Mandiri (Persero) Tbk
0.58308,BMRI.JK,PT Bank Mandiri (Persero) Tbk
294.0,BMRI.JK,PT Bank Mandiri (Persero) Tbk
0.55438,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
0.21114,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
0.47382,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
292.0,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
0.57741,ASII.JK,PT Astra International Tbk
0.18372,ASII.JK,PT Astra International Tbk
0.43475,ASII.JK,PT Astra International Tbk
206.0,ASII.JK,PT Astra International Tbk
0.86053,UNVR.JK,PT Unilever Indonesia Tbk
0.03328,UNVR.JK,PT Unilever Indonesia Tbk
0.23864001,UNVR.JK,PT Unilever Indonesia Tbk
103.0,UNVR.JK,PT Unilever Indonesia Tbk
0.92439,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
0.0014300001,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
0.01895,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
11.0,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
0.68784,BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
0.16724001,BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
0.53575003,BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
197.0,BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
0.82397,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
0.0739,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
0.41983002,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
107.0,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
0.64873004,KLBF.JK,PT Kalbe Farma Tbk.
0.108339995,KLBF.JK,PT Kalbe Farma Tbk.
0.30842,KLBF.JK,PT Kalbe Farma Tbk.
126.0,KLBF.JK,PT Kalbe Farma Tbk.
