Date Reported,Holder,pctHeld,Shares,Value,pctChange,Symbol,Name
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0058999998,719026997,4637724130650,0.0008,BBCA.JK,PT Bank Central Asia Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0056,680750850,4390842982500,0.0139999995,BBCA.JK,PT Bank Central Asia Tbk
2026-06-30,Fidelity Advisor Series VIII-Fidelity Advisor Focused Emerging Markets,0.0053,641453900,4137377655000,0.0,BBCA.JK,PT Bank Central Asia Tbk
2026-06-30,Fidelity Rutland Square TRT II-Strategic Advisers Fidelity Emerging Ma,0.005,611896813,3946734443850,0.2756,BBCA.JK,PT Bank Central Asia Tbk
2026-03-31,ADVISORS' INNER CIRCLE III-GQG PARTNERS EMERGING MARKETS EQUITY FUND,0.0046,559050330,3605874628500,-0.0069999998,BBCA.JK,PT Bank Central Asia Tbk
2026-06-30,"iShares, Inc.-iShares Core MSCI Emerging Markets ETF",0.0043,530420300,3421210935000,-0.1248,BBCA.JK,PT Bank Central Asia Tbk
2026-06-30,Fidelity Investment TRT-Fidelity Series Emerging Markets Opportunities,0.0033000002,406422086,2621422454700,0.2545,BBCA.JK,PT Bank Central Asia Tbk
2026-03-31,-Price (T.Rowe) International Growth Equity Trust,0.0028,337286600,2175498570000,0.026300002,BBCA.JK,PT Bank Central Asia Tbk
2026-05-31,VANGUARD WORLD FUND-Vanguard International Growth Fund,0.0023999999,287390500,1853668725000,-0.0069,BBCA.JK,PT Bank Central Asia Tbk
2026-04-30,"T. ROWE PRICE Intl Fd.S, INC.-T. Rowe Price Intl Stock Fd.",0.0022,268567600,1732261020000,-0.0017,BBCA.JK,PT Bank Central Asia Tbk
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0064999997,967931547,3126418896810,0.0002,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0061000003,918003560,2965151498800,0.0156,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-04-30,AIM Investment Fd.s -Invesco Developing Markets Fd.,0.0049,728866443,2354238610890,-0.0421,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-06-30,"iShares, Inc.-iShares Core MSCI Emerging Markets ETF",0.0043,641143195,2070892519850,-0.1375,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-03-31,-Price (T.Rowe) Emerging Markets Discovery Stock Trust,0.0026,396033611,1279188563530,0.0462,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-03-31,Baillie Gifford Funds-Baillie Gifford Emerging Markets Equities Fund,0.0019,280448263,905847889490,0.0,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-06-30,iShares Trust-iShares MSCI Indonesia ETF,0.0019,283812654,916714872420,0.5447,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-04-30,VANGUARD TRUSTEES' EQUITY FUND-Vanguard International Value Fund,0.0018000001,265397700,857234571000,-0.076799996,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-04-30,"T. ROWE PRICE Intl Fd.S, INC.-T. Rowe Price Emerging Markets Discovery",0.0016,244293907,789069319610,0.014199999,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-03-31,-Price (T.Rowe) International Value Equity Trust,0.0015,231373200,747335436000,-0.1088,BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
2026-03-31,-Price (T.Rowe) International Growth Equity Trust,0.0068,671230000,1751910300000,0.053000003,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-06-30,New World Fund Inc,0.0068,676744600,1766303406000,-0.0872,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0064,638012958,1665213820380,-0.0031,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0061000003,606252152,1582318116720,0.0165,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-04-30,HARDING LOEVNER Fd.S INC-Harding Loevner Intl Eqy. PORT.,0.0057,562276500,1467541665000,-0.041100003,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-04-30,"T. ROWE PRICE Intl Fd.S, INC.-T. Rowe Price Intl Stock Fd.",0.0053,525873700,1372530357000,-0.0178,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-06-30,"iShares, Inc.-iShares Core MSCI Emerging Markets ETF",0.0052,516835800,1348941438000,-0.0582,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-06-30,Fidelity Rutland Square TRT II-Strategic Advisers Fidelity Emerging Ma,0.0023999999,235710432,615204227520,3.4120002,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-04-30,AIM Investment Fd.s -Invesco Developing Markets Fd.,0.0022,213458774,557127400140,0.0,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-06-30,iShares Trust-iShares MSCI Indonesia ETF,0.002,198643790,518460291900,0.5159,TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0073,295642007,1413168793460,-0.003,ASII.JK,PT Astra International Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0069,281011881,1343236791180,0.0174,ASII.JK,PT Astra International Tbk
2026-03-31,LAZARD FUNDS INC-Lazard Emerging Markets Equity Portfolio,0.0066000004,267506500,1278681070000,0.5564,ASII.JK,PT Astra International Tbk
2026-06-30,"iShares, Inc.-iShares Core MSCI Emerging Markets ETF",0.005,200877400,960193972000,-0.0958,ASII.JK,PT Astra International Tbk
2026-04-30,AIM Investment Fd.s -Invesco Developing Markets Fd.,0.0047999998,192460257,919960028460,-0.0394,ASII.JK,PT Astra International Tbk
2026-05-31,Delaware Group Global & Intl Fd.s-Nomura Emerging Markets Fd.,0.0044,180000000,860400000000,0.0,ASII.JK,PT Astra International Tbk
2026-04-30,First Eagle Funds-First Eagle Overseas Fund,0.0037,149362500,713952750000,0.0,ASII.JK,PT Astra International Tbk
2026-04-30,VANGUARD TRUSTEES' EQUITY FUND-Vanguard International Value Fund,0.0023999999,95684576,457372273280,-0.0194,ASII.JK,PT Astra International Tbk
2026-05-31,MFS SERIES TRUST X-MFS Emerging Markets Equity Fund,0.0023,91248700,436168786000,-0.059,ASII.JK,PT Astra International Tbk
2026-06-30,Fidelity Salem Street TRT-Fidelity SAI Emerging Markets Value Index Fd,0.0023,92289400,441143332000,-0.0087,ASII.JK,PT Astra International Tbk
2026-04-30,Old Westbury Funds Inc-Old Westbury Large Cap Strategies Fund,0.0032,122162700,219282046500,0.2672,UNVR.JK,PT Unilever Indonesia Tbk
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0022,84239760,151210369200,0.014199999,UNVR.JK,PT Unilever Indonesia Tbk
2026-06-30,FlexShares Trust-FlexShares International Quality Dividend Index Fund,0.0022,82797000,148620615000,0.003,UNVR.JK,PT Unilever Indonesia Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0021,80686255,144831827725,0.052699998,UNVR.JK,PT Unilever Indonesia Tbk
2026-03-31,Putnam International Equity Fund,0.0011,42687000,76623165000,0.0,UNVR.JK,PT Unilever Indonesia Tbk
2026-06-30,SEI INSTITUTIONAL INTERNATIONAL TRUST-SIT Emerging Markets Equity Fund,0.00090000004,32975400,59190843000,0.0674,UNVR.JK,PT Unilever Indonesia Tbk
2026-07-31,WisdomTree Trust-WisdomTree Emerging Markets High Dividend Fund,0.0008,29229900,52467670500,0.0,UNVR.JK,PT Unilever Indonesia Tbk
2026-03-31,Delaware VIP Trust-Nomura VIP Emerging Markets Series,0.0005,20000000,35900000000,0.0,UNVR.JK,PT Unilever Indonesia Tbk
2026-04-30,DFA INVESTMENT DIMENSIONS GROUP INC-Emerging Markets Core Eqy. 2 PORT.,0.0005,20675900,37113240500,-0.0215,UNVR.JK,PT Unilever Indonesia Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard FTSE All-World ex-US Index Fd.,0.0004,13354750,23971776250,0.0679,UNVR.JK,PT Unilever Indonesia Tbk
2026-07-31,WisdomTree Trust-WisdomTree Emerging Markets High Dividend Fund,0.00059999997,71437700,53221086500,0.0,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-03-31,PIMCO Equity Series-PIMCO RAE Emerging Markets Fund,0.00029999999,32947900,24546185500,0.3462,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-04-30,Two Roads Shared Trust-Conductor Global Equity Value ETF,0.00029999999,29304500,21831852500,0.045700002,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-06-30,"iShares, Inc.-iShares Emerging Markets Equity Factor ETF",0.0001,8007600,5965662000,-0.532,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-04-30,HARBOR FUNDS-Harbor International Core Fund,0.0,936580,697752100,1.0,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-04-30,ADVISORS' INNER CIRCLE FUND-Acadian Emerging Markets Portfolio,0.0,3178392,2367902040,0.0,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-06-30,Fidelity Rutland Square TRT II-Strategic Advisers Emerging Markets Fd.,0.0,4177965,3112583925,0.0,HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk
2026-04-30,HARTFORD MUTUAL FUNDS INC/CT-The Hartford International Value Fund,0.005,58316192,444660964000,0.4316,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-04-30,AIM Intl Mutual Fd.s -Invesco Intl Small-Mid Company Fd.,0.0039,45785000,349110625000,0.589,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-06-30,Fidelity Rutland Square TRT II-Strategic Advisers Fidelity Emerging Ma,0.003,35111700,267726712500,0.0,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0028,32897235,250841416875,0.0,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0028,32115347,244879520875,0.034,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-04-30,AIM Intl Mutual Fd.s -Invesco Global Opportunities Fd.,0.0016,18130900,138248112500,0.126,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-03-31,Putnam International Equity Fund,0.00090000004,10230900,78010612500,0.694,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-03-31,Artisan Partners Funds Inc.-Artisan Sustainable Emerging Markets Fund,0.0005,6023400,45928425000,1.0275,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard FTSE All-World ex-US Index Fd.,0.0004,5216884,39778740500,0.0464,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-03-31,Dodge & Cox Funds-Dodge & Cox Emerging Markets Stock Fund,0.0004,4638314,35367144250,0.0529,ICBP.JK,PT Indofood CBP Sukses Makmur Tbk
2026-04-30,VANGUARD STAR FUNDS-Vanguard Total International Stock Index Fund,0.0057,268873617,217787629770,0.0,KLBF.JK,PT Kalbe Farma Tbk.
2026-03-31,MFS Series Trust V-MFS International New Discovery Fund,0.0056,260017100,210613851000,0.0,KLBF.JK,PT Kalbe Farma Tbk.
2026-04-30,VANGUARD Intl Eqy. INDEX Fd.S-Vanguard Emerging Markets Stock Index Fd,0.0055,259666384,210329771040,0.0126,KLBF.JK,PT Kalbe Farma Tbk.
2026-06-30,"iShares, Inc.-iShares Core MSCI Emerging Markets ETF",0.004,189108500,153177885000,-0.1823,KLBF.JK,PT Kalbe Farma Tbk.
2026-06-30,iShares Trust-iShares MSCI Indonesia ETF,0.0023,107503285,87077660850,0.7421,KLBF.JK,PT Kalbe Farma Tbk.
2026-03-31,College Retirement Equities Fd.-College Retirement Equities Fd. - Tota,0.002,92037700,74550537000,6.7237,KLBF.JK,PT Kalbe Farma Tbk.
2026-03-31,AIM Fd.s Group -Invesco Intl Small Company Fd.,0.0016,73599100,59615271000,0.0,KLBF.JK,PT Kalbe Farma Tbk.
2026-06-30,SPDR INDEX SHARES Fd.S-State Street SPDR PORT. Emerging Markets ETF,0.0013,60369461,48899263410,-0.0162,KLBF.JK,PT Kalbe Farma Tbk.
2026-06-30,American Century ETF Trust-Avantis Emerging Markets Equity ETF,0.0011999999,55971300,45336753000,0.0037,KLBF.JK,PT Kalbe Farma Tbk.
2026-04-30,DFA INVESTMENT DIMENSIONS GROUP INC-Emerging Markets Core Eqy. 2 PORT.,0.0011,50093100,40575411000,0.0,KLBF.JK,PT Kalbe Farma Tbk.
