Symbol,Name,Sector,Industry,Market Cap,P/E Ratio,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Enterprise Value/Revenue,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Dividend Yield,Dividend Rate,Payout Ratio,Current Ratio,Quick Ratio,Debt to Equity,Earnings Growth,Revenue Growth
BBCA.JK,PT Bank Central Asia Tbk,Financial Services,Banks - Regional,792329325641728,13.6612015,13.368429,1.77,7.251479,2.9298046,,7.014,0.53118,0.66751,0.03671,0.21818,5.91,381.0,0.7542,,,,0.004,0.025
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,Financial Services,Banks - Regional,486356996325376,8.30569,7.3377404,1.35,3.3434038,1.4380603,,4.244,0.40230998,0.42025003,0.02715,0.18135999,12.94,418.0,0.8879,,,,0.143,0.163
BMRI.JK,PT Bank Mandiri (Persero) Tbk,Financial Services,Banks - Regional,392347477082112,6.3251295,6.360403,4.25,2.744566,1.3839628,,3.807,0.43377998,0.60428,0.02623,0.22378999,11.3,476.96,0.7147,,,,0.336,-0.054
TLKM.JK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,257296256991232,14.641536,9.995788,3.49,1.7197107,1.9186522,4.654,1.993,0.12007,0.28538,0.07579,0.17683001,8.55,223.17,1.2516,0.791,0.696,59.982,0.28,0.064
ASII.JK,PT Astra International Tbk,Industrials,Conglomerates,190817897545728,6.4599833,6.2250934,0.77,0.5992121,0.8293978,6.327,1.012,0.09354,0.10734,0.0435,0.11983,8.16,390.0,0.527,1.187,0.848,41.125,-0.212,-0.003
UNVR.JK,PT Unilever Indonesia Tbk,Consumer Defensive,Household & Personal Products,68176314368000,18.314457,16.895708,2.02,2.0624125,10.392844,13.41,2.026,0.25577998,0.12069,0.1658,1.3336799,12.7,228.0,2.051,0.571,0.329,18.102,-0.093,0.116
HMSP.JK,PT Hanjaya Mandala Sampoerna Tbk,Consumer Defensive,Tobacco,86656971440128,9.930686,11.161049,,1.7626858,3.3282108,7.072,1.635,0.17646,0.22129999,0.13665,0.34686002,7.56,56.3,0.7507,1.653,0.502,1.286,9.175,0.128
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,Financial Services,Banks - Regional,138967861166080,6.7204785,5.5296125,0.83,2.673119,0.84544843,,-0.836,0.39862,0.42648998,0.01559,0.1245,9.37,349.41,0.6296,,,,0.082,0.098
ICBP.JK,PT Indofood CBP Sukses Makmur Tbk,Consumer Defensive,Packaged Foods,88922046595072,12.048098,8.420204,1.53,1.1239824,1.6852144,7.013,1.586,0.093430005,0.18608,0.07311,0.12555,3.48,265.0,0.4186,3.581,2.998,66.653,-0.608,0.157
KLBF.JK,PT Kalbe Farma Tbk.,Healthcare,Drug Manufacturers - General,36651577376768,10.183556,10.82743,2.82,0.97157043,1.5064919,6.707,0.899,0.09568,0.11865,0.09224,0.14768,2.47,20.0,0.25129998,3.153,1.781,3.208,-0.004,0.182
